"gene","symbol","ElasticNet_n_folds_selected","LASSO_n_folds_selected","RandomForest_n_folds_selected","XGBoost_combined_n_folds_selected","ElasticNet_mean_importance","LASSO_mean_importance","RandomForest_mean_importance","XGBoost_combined_mean_importance","ElasticNet_mean_fold_rank","LASSO_mean_fold_rank","RandomForest_mean_fold_rank","XGBoost_combined_mean_fold_rank","n_models_selected_all_folds","n_models_selected_5plus_folds","n_models_selected_any_fold","models_selected_all_folds","mean_rank_across_models"
"ENSG00000011465","DCN",6,6,6,6,0.450281034836221,0.491311099943842,24.1154768649704,-2.5,1,2,2.5,2.33333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",1.95833333333333
"ENSG00000261371","PECAM1",6,6,6,6,0.376359909760922,0.536361058444354,18.6640533188991,-2.66666666666667,2,1.5,16.3333333333333,2.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",5.58333333333333
"ENSG00000115457","IGFBP2",6,6,6,6,0.264456668614803,0.287875327792324,19.3530982906083,-18.0833333333333,10,13.8333333333333,12.8333333333333,12.1666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",12.2083333333333
"ENSG00000143196","DPT",6,6,6,6,0.263793519636232,0.276907505711877,19.2112566618416,-18.0833333333333,9.83333333333333,16.5,13.3333333333333,12.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",13.125
"ENSG00000074181","NOTCH3",6,6,6,6,0.237319726232851,0.263510052393035,17.829167143057,-4.58333333333333,15.6666666666667,18,21.5,4,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",14.7916666666667
"ENSG00000077942","FBLN1",6,6,6,6,0.204319675409458,0.218873729343033,22.8858790208337,-7.83333333333333,28.8333333333333,32.6666666666667,3,6,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",17.625
"ENSG00000204472","AIF1",6,6,6,6,0.281509584543537,0.436497354895707,15.7156143212196,-14.4166666666667,11,3.33333333333333,49.3333333333333,9.66666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",18.3333333333333
"ENSG00000149591","TAGLN",6,6,6,6,0.231951507128504,0.302649431198219,17.3009618522251,-31.3333333333333,16.5,13.5,24.6666666666667,23.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",19.5416666666667
"ENSG00000162618","ADGRL4",6,6,6,6,0.258860229581663,0.293578531954737,16.5371477400029,-31.1666666666667,11.1666666666667,12.5,34.3333333333333,22.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",20.2083333333333
"ENSG00000176435","CLEC14A",6,6,6,6,0.271204052705296,0.306505852019608,17.0958919529588,-49,9.33333333333333,11.8333333333333,28.6666666666667,39,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",22.2083333333333
"ENSG00000008394","MGST1",6,6,6,6,0.234651887957839,0.244675677650397,17.7659122229932,-38.25,16,22.5,24.6666666666667,28.6666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",22.9583333333333
"ENSG00000078596","ITM2A",6,6,6,6,0.220951268903577,0.289073703321839,19.9249499104725,-57.6666666666667,21,13.8333333333333,8.33333333333333,48.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",23
"ENSG00000249751","ECSCR",5,5,5,5,0.251557242343792,0.28486372784114,15.3485175781657,-33.4,11,13,51.8,25.4,0,4,4,"",25.3
"ENSG00000189129","PLAC9",6,6,6,6,0.222384368570824,0.273241406184111,17.0800657916282,-52.0833333333333,20.3333333333333,17.8333333333333,29.6666666666667,43,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",27.7083333333333
"ENSG00000110799","VWF",6,6,6,6,0.238517282252672,0.252029426241057,15.4976979140831,-25.6666666666667,16.8333333333333,26.6666666666667,48.5,19.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",27.9583333333333
"ENSG00000120885","CLU",6,6,6,6,0.16122977104813,0.188843765555991,18.9086475456406,-11.4166666666667,47.5,44,13.8333333333333,7.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",28.2083333333333
"ENSG00000140092","FBLN5",6,6,6,6,0.187347326816723,0.218486363606772,17.5522083667824,-40.9166666666667,34,32,24.8333333333333,31.6666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",30.625
"ENSG00000101335","MYL9",0,0,6,6,NA,NA,16.8850569292014,-41.5833333333333,NA,NA,31,33.8333333333333,2,2,2,"RandomForest, XGBoost_combined",32.4166666666667
"ENSG00000130300","PLVAP",6,6,6,6,0.193302591026569,0.206432362292611,15.9575745199687,-30.0833333333333,30.8333333333333,37.6666666666667,41.3333333333333,22.3333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",33.0416666666667
"ENSG00000181649","PHLDA2",6,6,6,6,0.219705736837996,0.233603785363314,18.1867721254856,-80.8333333333333,20.5,26.8333333333333,19.8333333333333,67.6666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",33.7083333333333
"ENSG00000185551","NR2F2",6,6,6,6,0.245052109663006,0.29893042935858,13.7714972556476,-24.8333333333333,15,12.1666666666667,91.6666666666667,17.3333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",34.0416666666667
"ENSG00000172889","EGFL7",6,6,6,6,0.242125531121624,0.2928296717473,16.1156690824498,-72.25,16.1666666666667,15,43.6666666666667,61.6666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",34.125
"ENSG00000165949","IFI27",6,6,6,6,0.234022026033579,0.276233278251352,14.1800950073465,-31.4166666666667,18.3333333333333,20.1666666666667,77.5,24.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",35.125
"ENSG00000170323","FABP4",6,6,6,6,0.153262391104685,0.169846068258801,27.0347831103838,-20.0833333333333,66,67.5,1,13.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",37.0833333333333
"ENSG00000179144","GIMAP7",6,6,6,6,0.19750545679028,0.232770666511396,16.1627060132941,-72.5833333333333,29.1666666666667,27,41.1666666666667,61.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",39.7083333333333
"ENSG00000103196","CRISPLD2",0,0,1,0,NA,NA,15.2637613456679,NA,NA,NA,42,NA,0,0,1,"",42
"ENSG00000077943","ITGA8",6,6,6,6,0.160838279665045,0.171810724963343,14.7235175715242,-6.25,47.8333333333333,52.5,63.6666666666667,5.16666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",42.2916666666667
"ENSG00000130203","APOE",6,6,6,6,0.189017675751287,0.221041922019634,14.5231489983267,-45.0833333333333,34.8333333333333,33.1666666666667,70.6666666666667,36,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",43.6666666666667
"ENSG00000203883","SOX18",6,6,6,6,0.203939825353944,0.22115669529821,17.1285168977183,-100.5,27.8333333333333,33.5,29.5,86.3333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",44.2916666666667
"ENSG00000132329","RAMP1",6,6,6,6,0.167334097003868,0.173778720723244,14.5853407870672,-26.5833333333333,43.8333333333333,50.1666666666667,68,20.1666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",45.5416666666667
"ENSG00000198467","TPM2",6,6,6,6,0.13660233575989,0.153866089492568,17.5559231169182,-33.6666666666667,69.3333333333333,70.5,23.5,24.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",47.0416666666667
"ENSG00000182492","BGN",6,6,6,6,0.145472849431724,0.195885760420878,14.236045579527,-15.5833333333333,65.6666666666667,51.8333333333333,72.6666666666667,10.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",50.1666666666667
"ENSG00000117632","STMN1",6,6,6,6,0.193926990425857,0.221806731736706,12.955626007691,-55,31.5,31.5,112.166666666667,44.6666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",54.9583333333333
"ENSG00000076706","MCAM",6,6,6,6,0.211517166298284,0.238831724275282,12.1618968594166,-38,23.3333333333333,24.8333333333333,148.166666666667,30.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",56.7083333333333
"ENSG00000105655","ISYNA1",6,6,6,6,0.179023525488807,0.195020386914563,13.5159226060418,-66.75,38.5,42,95,56,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",57.875
"ENSG00000132386","SERPINF1",6,6,6,6,0.118616931585469,0.126703077354705,22.5458434508791,-47,96.1666666666667,99.5,5.16666666666667,38.1666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",59.75
"ENSG00000131477","RAMP2",6,6,6,6,0.17359611246439,0.168987299873941,15.8169038815475,-97.0833333333333,42.1666666666667,73.3333333333333,45,83.3333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",60.9583333333333
"ENSG00000164687","FABP5",6,6,6,6,0.142657104600325,0.147165827755445,19.155676311145,-122.666666666667,62,67.8333333333333,12,108.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",62.5833333333333
"ENSG00000127954","STEAP4",6,6,6,6,0.107443184563142,0.11667211406193,18.3488568229643,-49.0833333333333,102.166666666667,96.1666666666667,17.1666666666667,39.1666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",63.6666666666667
"ENSG00000175899","A2M",6,6,6,6,0.136964837534914,0.163070381917398,13.8805381119372,-49.25,65.8333333333333,56.1666666666667,95,37.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",63.7083333333333
"ENSG00000168079","SCARA5",1,1,1,1,0.154760855321777,0.165820196570534,14.2324524886295,-122,44,47,62,108,0,0,4,"",65.25
"ENSG00000187513","GJA4",5,5,5,5,0.133695075393126,0.146825680215987,15.2837428395541,-94.8,67,66.2,54,81.8,0,4,4,"",67.25
"ENSG00000115461","IGFBP5",6,6,6,6,0.209796665341256,0.246885729324149,11.3518825688164,-55.5833333333333,24.6666666666667,23.1666666666667,185.833333333333,46.3333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",70
"ENSG00000115414","FN1",6,6,6,6,0.099762040440345,0.10943621210165,20.302648393411,-27,128.166666666667,122.833333333333,10.3333333333333,19.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",70.2083333333333
"ENSG00000119681","LTBP2",6,6,6,6,0.128108944643264,0.13730872645425,14.4475982066806,-82.75,76.8333333333333,79.3333333333333,70,71.1666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",74.3333333333333
"ENSG00000100234","TIMP3",6,6,6,6,0.102394815273261,0.102800907014529,21.0488305157473,-69.4166666666667,123.333333333333,127.666666666667,6.83333333333333,57.5,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",78.8333333333333
"ENSG00000186340","THBS2",6,6,6,6,0.114077323130292,0.114054324788538,16.6989712504971,-102.583333333333,91,101,34.8333333333333,89.1666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",79
"ENSG00000136999","CCN3",6,6,6,6,0.101888193539095,0.112107827943564,16.9575976431819,-75.1666666666667,116.5,107.5,31.5,63,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",79.625
"ENSG00000109099","PMP22",0,0,6,6,NA,NA,13.6827854574517,-72.1666666666667,NA,NA,99.5,60.8333333333333,2,2,2,"RandomForest, XGBoost_combined",80.1666666666667
"ENSG00000188290","HES4",6,6,6,6,0.18809683847443,0.196998998257702,11.835671047505,-99.5833333333333,34,42.1666666666667,162.5,87.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",81.625
"ENSG00000106809","OGN",6,6,6,6,0.118149854806846,0.134142947503006,14.296146418582,-108.166666666667,84.1666666666667,76.5,74.3333333333333,94.6666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",82.4166666666667
"ENSG00000158869","FCER1G",4,1,6,6,0.0764148873106626,0.134710989715924,14.2935808566689,-20.0833333333333,185,66,72.5,15.1666666666667,2,2,4,"RandomForest, XGBoost_combined",84.6666666666667
"ENSG00000140285","FGF7",6,6,6,6,0.109518898471256,0.11157545136894,19.4492639473586,-115.25,112.166666666667,115,10.6666666666667,102.833333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",85.1666666666667
"ENSG00000139329","LUM",6,6,6,6,0.104724343361315,0.115556528201574,15.703137129316,-101.166666666667,107.333333333333,99.8333333333333,44.5,89.1666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",85.2083333333333
"ENSG00000140545","MFGE8",6,6,6,6,0.090389062817566,0.0927756058125249,15.6208482691316,-36.1666666666667,137.166666666667,137.666666666667,48.3333333333333,27.1666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",87.5833333333333
"ENSG00000120708","TGFBI",6,6,6,6,0.150059545347863,0.161054434875274,12.891076753138,-141.166666666667,54.8333333333333,57.1666666666667,121.333333333333,125.666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",89.75
"ENSG00000111341","MGP",6,5,6,6,0.0833789866599179,0.123508082604226,18.8999793841133,-34,198.833333333333,119.4,15.3333333333333,26.1666666666667,3,4,4,"RandomForest, ElasticNet, XGBoost_combined",89.9333333333333
"ENSG00000133110","POSTN",6,6,6,6,0.143091386192252,0.156405035876986,12.22420706705,-116.833333333333,57.8333333333333,59.3333333333333,143.333333333333,103,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",90.875
"ENSG00000135916","ITM2C",6,6,6,6,0.197440878086506,0.227541553798297,11.2457097002992,-121.583333333333,33.3333333333333,32.5,193.5,105.166666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",91.125
"ENSG00000185633","COXFA4L2",6,6,6,6,0.145625179178746,0.145658261433935,11.4147938668156,-65.3333333333333,59.3333333333333,67.5,184.333333333333,54,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",91.2916666666667
"ENSG00000196616","ADH1B",6,6,6,6,0.14449987599059,0.173922253210439,12.1307598915152,-115.833333333333,62.1666666666667,54.5,147.833333333333,100.833333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",91.3333333333333
"ENSG00000134533","RERG",4,4,0,4,0.161230683143002,0.170463586503059,NA,-189.125,49.5,54.75,NA,171.25,0,0,3,"",91.8333333333333
"ENSG00000188783","PRELP",6,6,6,6,0.120481611831321,0.136242342411645,13.7757471304847,-134.916666666667,83.5,77.3333333333333,87.5,121.666666666667,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",92.5
"ENSG00000099260","PALMD",6,6,6,6,0.17641643700481,0.183685569650289,14.6113376225011,-247.666666666667,41.1666666666667,47.8333333333333,66.5,225.333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",95.2083333333333
"ENSG00000149564","ESAM",6,6,6,6,0.111125492999017,0.116139689350294,15.3166112320662,-142.25,99,101.833333333333,53.3333333333333,126.833333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",95.25
"ENSG00000124491","F13A1",5,5,6,5,0.226377584321739,0.267292008640656,11.3976315673303,-190.2,20.6,20.2,190.333333333333,169.4,1,4,4,"RandomForest",100.133333333333
"ENSG00000125868","DSTN",6,6,6,6,0.105313776756407,0.115793629686502,14.9746988488916,-98.1666666666667,127,128.166666666667,60.8333333333333,85.8333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",100.458333333333
"ENSG00000066336","SPI1",6,6,4,6,0.28196992423297,0.350741840144502,9.57687220402203,-98.5,7.66666666666667,6.66666666666667,307.75,88,3,3,4,"LASSO, ElasticNet, XGBoost_combined",102.520833333333
"ENSG00000204482","LST1",2,2,0,2,0.21500118532751,0.234411726471486,NA,-279.25,22,27,NA,262,0,0,3,"",103.666666666667
"ENSG00000133392","MYH11",0,0,6,6,NA,NA,12.4477773646816,-96.1666666666667,NA,NA,134.166666666667,81.8333333333333,2,2,2,"RandomForest, XGBoost_combined",108
"ENSG00000142173","COL6A2",0,0,6,6,NA,NA,11.7231792824285,-71.9166666666667,NA,NA,164.833333333333,58,2,2,2,"RandomForest, XGBoost_combined",111.416666666667
"ENSG00000141753","IGFBP4",6,6,6,6,0.077377212810714,0.083348715813422,17.2493402284795,-110,168.166666666667,157,26.5,94.3333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",111.5
"ENSG00000111885","MAN1A1",1,1,0,0,0.103507725379424,0.115402028129385,NA,NA,116,111,NA,NA,0,0,2,"",113.5
"ENSG00000144810","COL8A1",6,6,6,6,0.0744991140514139,0.0777331116584359,17.5470287419904,-54.3333333333333,199.166666666667,189.333333333333,23.5,45,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",114.25
"ENSG00000106565","TMEM176B",6,5,6,6,0.0917080327195033,0.108494830338506,14.9058227798992,-133.083333333333,165.666666666667,117.2,57.5,119,3,4,4,"RandomForest, ElasticNet, XGBoost_combined",114.841666666667
"ENSG00000064989","CALCRL",6,6,6,6,0.191657766450568,0.224282340246511,9.9023998974292,-139.583333333333,31.1666666666667,30.1666666666667,286.5,123.333333333333,4,4,4,"RandomForest, LASSO, ElasticNet, XGBoost_combined",117.791666666667
